ISO2,ADM0NAME,SOVEREIGNNAME,ISO3,WHO_CODE,EURO_CODE,WHOPOP2016,UNPOP2019,ECDC
AL,ALBANIA,Albania,ALB,ALB,ALB,2926000,2880913,FALSE
AD,ANDORRA,Andorra,AND,AND,AND,77000,77146,FALSE
AM,ARMENIA,Armenia,ARM,ARM,ARM,2925000,2957728,FALSE
AT,AUSTRIA,Austria,AUT,AUT,AUT,8712000,8858775,TRUE
AZ,AZERBAIJAN,Azerbaijan,AZE,AZE,AZE,9725000,10047719,FALSE
BE,BELGIUM,Belgium,BEL,BEL,BEL,11358000,11455519,FALSE
BA,BOSNIA AND HERZEGOVINA,Bosnia and Herzegovina,BIH,BIH,BIH,3517000,3300998,FALSE
BY,BELARUS,Belarus,BLR,BLR,BLR,9480000,9452409,FALSE
BG,BULGARIA,Bulgaria,BGR,BUL,BUL,7131000,7000039,TRUE
HR,CROATIA,Croatia,HRV,CRO,CRO,4213000,4076246,TRUE
CY,CYPRUS,Cyprus,CYP,CYP,CYP,1170000,875899,TRUE
CZ,CZECH REPUBLIC,Czech Republic,CZE,CZH,CZH,10611000,10649800,TRUE
DK,DENMARK,Denmark,DNK,DEN,DEN,5712000,5806081,TRUE
DE,GERMANY,Germany,DEU,DEU,DEU,81915000,83019213,TRUE
EE,ESTONIA,Estonia,EST,EST,EST,1312000,1324820,TRUE
FI,FINLAND,Finland,FIN,FIN,FIN,5503000,5517919,TRUE
FR,FRANCE,France,FRA,FRA,FRA,64721000,67012883,TRUE
GE,GEORGIA,Georgia,GEO,GEO,GEO,3925000,3996762,FALSE
EL,GREECE,Greece,GRC,GRE,GRE,11184000,10724599,TRUE
HU,HUNGARY,Hungary,HUN,HUN,HUN,9753000,9772756,TRUE
IS,ICELAND,Iceland,ISL,ICE,ICE,332000,356991,TRUE
IE,IRELAND,Ireland,IRL,IRE,IRE,4726000,4904240,TRUE
IL,ISRAEL,Israel,ISR,ISR,ISR,8192000,8519373,FALSE
IT,ITALY,Italy,ITA,ITA,ITA,59430000,60359546,TRUE
KZ,KAZAKHSTAN,Kazakhstan,KAZ,KAZ,KAZ,17988000,18551428,FALSE
KG,KYRGYZSTAN,Kyrgyzstan,KGZ,KGZ,KGZ,5956000,6415851,FALSE
LI,LIECHTENSTEIN,Liechtenstein,LIE,LIE,LIE,,38378,TRUE
LT,LITHUANIA,Lithuania,LTU,LTU,LTU,2908000,2794184,TRUE
LU,LUXEMBOURG,Luxembourg,LUX,LUX,LUX,576000,613894,TRUE
LV,LATVIA,Latvia,LVA,LVA,LVA,1971000,1919968,TRUE
MT,MALTA,Malta,MLT,MAT,MAT,429000,514564,TRUE
MD,REPUBLIC OF MOLDOVA,Republic of Moldova,MDA,MDA,MDA,4060000,4043258,FALSE
MK,NORTH MACEDONIA,North Macedonia,MKD,MKD,MKD,2081000,2083458,FALSE
ME,MONTENEGRO,Montenegro,MNE,MNE,MNE,629000,627988,FALSE
MC,MONACO,Monaco,MCO,MON,MON,38000,38967,FALSE
NL,NETHERLANDS,Netherlands,NLD,NET,NET,16987000,17282163,TRUE
NO,NORWAY,Norway,NOR,NOR,NOR,5255000,5328212,TRUE
PL,POLAND,Poland,POL,POL,POL,38224000,37972812,TRUE
PT,PORTUGAL,Portugal,PRT,POR,POR,10372000,10276617,TRUE
RO,ROMANIA,Romania,ROU,ROM,ROM,19778000,19414458,TRUE
RU,RUSSIAN FEDERATION,Russian Federation,RUS,RUS,RUS,143965000,145872260,FALSE
SM,SAN MARINO,San Marino,SMR,SMR,SMR,33000,33864,FALSE
ES,SPAIN,Spain,ESP,SPA,SPA,46348000,46937060,FALSE
RS,SERBIA,Serbia,SRB,SRB,SRB,8820000,6961862,FALSE
SK,SLOVAKIA,Slovakia,SVK,SVK,SVK,5444000,5450421,TRUE
SI,SLOVENIA,Slovenia,SVN,SVN,SVN,2078000,2080908,TRUE
SE,SWEDEN,Sweden,SWE,SWE,SWE,9838000,10230185,FALSE
CH,SWITZERLAND,Switzerland,CHE,SWI,SWI,8402000,8591361,FALSE
FO,FAROE ISLANDS,Denmark,FRO,T-FRO,FRO,5712000,48677,TRUE
GG,GUERNSEY,United Kingdom of Great Britain and Northern Ireland,GGY,T-GGY,GGY,,62792,FALSE
GI,GIBRALTAR,United Kingdom of Great Britain and Northern Ireland,GIB,T-GIB,GIB,,33706,FALSE
GL,GREENLAND,Denmark,GRL,T-GRN,GRN,5712000,56660,TRUE
IM,ISLE OF MAN,United Kingdom of Great Britain and Northern Ireland,IMN,T-IMN,IMN,,84589,FALSE
JE,JERSEY,United Kingdom of Great Britain and Northern Ireland,JEY,T-JEY,JEY,,106800,FALSE
TJ,TAJIKISTAN,Tajikistan,TJK,TJK,TJK,8735000,9321023,FALSE
TM,TURKMENISTAN,Turkmenistan,TKM,TKM,TKM,5663000,5942094,FALSE
SJ,SVALBARD AND JAN MAYEN ISLANDS,Norway,SJM,T-SJM,SJM,5255000,2926,FALSE
TR,TURKEY,Turkey,TUR,TUR,TUR,79512000,83429607,FALSE
UA,UKRAINE,Ukraine,UKR,UKR,UKR,44439000,43993643,FALSE
UK,UNITED KINGDOM,United Kingdom of Great Britain and Northern Ireland,GBR,UNK,UNK,65789000,67530161,TRUE
UZ,UZBEKISTAN,Uzbekistan,UZB,UZB,UZB,31447000,32981715,FALSE
VA,HOLY SEE,Holy See,VAT,VAT,VAT,,815,FALSE
XK,KOSOVO,Serbia,RKS,X-RKS,RKS,0,1810366,FALSE
